0 "Glass Steagal Act"
1 "Logic Gate"
2 "Cook Strait"
3 "Journal of Cryptology"
4 "United States presidential election, 1920"
5 "Louis the German"
6 "Repertory theatre"
7 "The liquid drop model"
8 "Cinema of Germany"
9 Rijksmuseum
10 Tibidabo
11 Niue/Transportation
12 Veritas
13 Archelaus
14 "Mycoplasma genitalium"
15 Abyss
16 "Sprint (cycling)"
17 "Ogden Nash"
18 1859
19 "Key escrow"
20 Sweep-picking
21 Deverra
22 "Macbeth/Act V Scene vii"
23 Molde
24 "Chinese law"
25 "Reference work"
26 "Ethan Allen"
27 OpenStep
28 "Citric acid cycle"
29 "Communications in Afghanistan"
30 "RMS Olympic"
31 "1954 FIFA World Cup"
32 "Sikorsky X-Wing"
33 Cyprus/Transportation
34 "First Fandom"
35 "George Westinghouse"
36 "Quake II"
37 "Lyon &amp; Healy"
38 "Albrecht Durer"
39 "Peloponnesian War"
40 G
41 Malintzin
42 "Translative case"
43 "Adobe Flash"
44 "MUMPS programming language"
45 "Genitive case"
46 "Short track speed skating"
47 Malayalam
48 "V5 interface"
49 Cyrenaica
50 Dragoon
51 "Transportation in the Philippines"
52 "Montgomery County, Maryland"
53 "Indiana Jones and the Fate of Atlantis"
54 "Harare, Zimbabwe"
55 "Spacecraft propulsion"
56 ML
57 "Adam Oehlenschläger"
58 "Mary (programming language)"
59 "Planar array"
60 "List of United States immigration legislation"
61 "Pete and Dud"
62 Edlin
63 "Land use"
64 "Linear Algebra/Hilbert Spaces"
65 "Ice hockey"
66 "Scientific misconduct"
67 Hegemonism
68 Thailand/Government
69 Ammah
70 Arkansas
71 Apemosyne
72 "Western music"
73 "Monarchy of Canada"
74 "M18 Claymore mine"
75 Aeacus
76 Altruism
77 "Morrill Tariff"
78 "Assembly line"
79 1873
80 Beadwork
81 "Tirolean Alps"
82 "Code of Hammurabi"
83 "Reverse transcriptase"
84 "US Department of Defense"
85 "1 E-14 kg"
86 "Rob Roy"
87 "Diego Garcia"
88 Areia
89 "Circus (genus)"
90 "October 30"
91 "Carter Harrison, Sr."
92 "1e-15 m"
93 "Niels Abel"
94 DragonMagazine
95 "Pumping lemma"
96 "Marcus Cornelius Fronto"
97 "Wilhelm von Humboldt"
98 "Oberon (programming language)"
99 "Cornelius Tacitus"
